Page,Visitors,Total
"/",63,90
"/spells/gift-of-alacrity",34,34
"/item/Scroll-of-Dimension-Door",30,34
"/spells/compelled-duel",28,31
"/dashboard",24,40
"/search",14,49
"/dashboard/4",13,18
"/login",12,17
"/spells/magic-weapon",11,15
"/feats/gunner",10,14
"/class",6,6
"/class/artificer",6,8
"/creature/giant-wolf-spider",6,6
"/spells/Scrying",6,6
"/subspecies/beasthide-shifter",6,11
"/dashboard/30",5,8
"/spells/Snilloc's-Snowball-Storm",5,5
"/class/barbarian",4,8
"/creature/adult-blue-dragon",4,4
"/dashboard/1",4,9
"/dashboard/6",4,6
"/dashboard/6cd0142a-5e0f-4236-a7a1-078c0fc73168",4,4
"/dashboard/9b026d77-09ee-4dda-9c4a-ca9912802ee3",4,7
"/dashboard/c457ec73-187d-4b0e-8856-e2d1f8062535",4,4
"/item/Animated-Shield",4,4
"/item/chain-mail",4,5
"/item/scale-mail",4,4
"/species/kender",4,6
"/spell-list",4,6
"/spell-list/druid-spell-list",4,10
"/spell-list/ranger-spell-list",4,6
"/spells",4,5
"/spells/entangle",4,12
"/spells/hypnotic-pattern",4,6
"/background",3,9
"/background/haunted-one",3,4
"/background/outlander",3,3
"/class/sorcerer/subclass",3,3
"/creature",3,16
"/creature/archmage",3,3
"/creature/giant-boar",3,3
"/dashboard/24",3,4
"/feats",3,6
"/item/Ladder-(10-foot)",3,3
"/item/battleaxe",3,3
"/item/studded-leather-armor",3,3
"/species",3,10
"/spell-list/paladin-spell-list",3,3
"/spells/Animate-Objects",3,3
"/spells/Stoneskin",3,3
"/spells/healing-word",3,3
"/spells/longstrider",3,4
"/background/athlete",2,2
"/background/courtier",2,2
"/class/monk",2,2
"/class/ranger",2,5
"/creature/cult-fanatic",2,2
"/creature/gladiator",2,2
"/creature/polar-bear",2,2
"/creature/red-dragon-wyrmling",2,2
"/dashboard/5",2,3
"/dashboard/e490b971-9ebe-40cb-8c90-5c9968f7d42b",2,3
"/feats/Bountiful-Luck",2,2
"/feats/Dragon-Hide",2,2
"/feats/Strixhaven-Initiate",2,2
"/feats/crusher",2,2
"/feats/mobile",2,3
"/item/Javelin",2,2
"/item/Piton",2,2
"/item/Scroll-of-Identify",2,2
"/item/scroll-of-magic-weapon",2,2
"/species/aarakocra-mmom",2,2
"/species/aetherborn",2,2
"/species/centaur-moot",2,3
"/species/goblin-psi",2,2
"/species/shifter-mmom",2,4
"/species/tabaxi-mmom",2,2
"/species/verdan",2,2
"/spell-list/bard-spell-list",2,7
"/spells/Alter-Self",2,2
"/spells/Burning-Hands",2,2
"/spells/Catapult",2,2
"/spells/Chromatic-Orb",2,2
"/spells/Disintegrate",2,2
"/spells/Forbiddance",2,2
"/spells/animal-messenger",2,2
"/spells/color-spray",2,2
"/spells/fire-shield",2,2
"/spells/jump",2,3
"/spells/mental-prison",2,2
"/spells/motivational-speech",2,2
"/spells/slow",2,2
"/spells/speak-with-animals",2,2
"/spells/spike-growth",2,3
"/subclass/Twilight-Domain",2,2
"/subclass/storm-herald",2,3
"/subrace/Asmodeus-Tiefling",2,2
"/subspecies",2,5
"/subspecies/High-Elf-Descent",2,2
"/workshop",2,2
"/Item/oil-flask-",1,1
"/Item/tinker-s-tools",1,1
"/background/Investigator-(VRGR)",1,1
"/background/Rewarded",1,1
"/background/Shipwright",1,1
"/background/guild-artisan",1,1
"/background/hermit",1,1
"/background/urban-bounty-hunter",1,1
"/background/vizier",1,1
"/blog/game-master-guide",1,1
"/class/druid",1,1
"/class/fighter",1,1
"/class/paladin",1,1
"/class/warlock/subclass",1,1
"/class/wizard",1,1
"/creature/Giant-Ape",1,1
"/creature/Octopus",1,1
"/creature/acolyte",1,1
"/creature/ancient-black-dragon",1,1
"/creature/ape",1,1
"/creature/chuul",1,1
"/creature/crab",1,1
"/creature/doppelganger",1,1
"/creature/draft-horse",1,1
"/creature/dretch",1,1
"/creature/giant-constrictor-snake",1,1
"/creature/giant-goat",1,1
"/creature/giant-toad",1,2
"/creature/hunter-shark",1,1
"/creature/lizard",1,1
"/creature/panther",1,1
"/creature/plesiosaurus",1,1
"/creature/quipper",1,1
"/creature/rhinoceros",1,1
"/creature/saber-toothed-tiger",1,1
"/creature/tribal-warrior",1,1
"/creature/worg",1,1
"/dashboard/284e9658-0963-49c4-bce5-ff78802d94d7",1,1
"/feats/Adept-of-the-Black-Robes",1,1
"/feats/Adept-of-the-Red-Robes",1,1
"/feats/alert",1,1
"/feats/athlete",1,1
"/feats/baleful-scion",1,1
"/feats/defensive-duelist",1,1
"/feats/lucky",1,1
"/feats/rob:vape",1,1
"/feats/sentinel",1,1
"/feats/tavern-brawler",1,1
"/item/Handaxe",1,1
"/item/Scroll-of-Alter-Self",1,2
"/item/Scroll-of-Dragon's-Breath",1,1
"/item/Scroll-of-Hold-Monster",1,1
"/item/Scroll-of-Meteor-Swarm",1,1
"/item/Scroll-of-Seeming",1,1
"/item/Weaver's-Tools",1,1
"/item/boots-of-elvenkind",1,1
"/item/caltrops-bag-of-20",1,1
"/item/cloak-of-elvenkind",1,1
"/item/club",1,1
"/item/crossbow-bolt",1,1
"/item/crossbow-light",1,1
"/item/explorers-pack",1,1
"/item/greatclub",1,1
"/item/handaxe",1,1
"/item/lance",1,1
"/item/light-hammer",1,1
"/item/longbow",1,1
"/item/maxy:glaive-of-the-feywild",1,1
"/item/maxy:mace-of-necrotic-smiting",1,2
"/item/monster-hunter-pack",1,1
"/item/scroll-of-bless",1,1
"/item/scroll-of-invulnerability",1,1
"/item/scroll-of-magic-jar",1,1
"/item/scroll-of-polymorph",1,1
"/item/shortbow",1,1
"/item/smiths-tools",1,1
"/item/tinkers-tools",1,1
"/register",1,2
"/species/centaur-ggr",1,1
"/species/centaur-mmom",1,1
"/species/duergar-scag",1,1
"/species/elf",1,1
"/species/goliath-mmom",1,1
"/species/half-elf",1,1
"/species/human",1,1
"/species/kenku-mmom",1,1
"/species/kenku-vgm",1,1
"/species/shifter-erlw",1,1
"/species/tabaxi-vgm",1,1
"/species/vampire-psz",1,1
"/spell-list/artificer-spell-list",1,3
"/spells/Aganazzar's-Scorcher",1,1
"/spells/Fireball",1,1
"/spells/Glyph-of-Warding",1,1
"/spells/Investiture-of-Flame",1,1
"/spells/Maelstrom",1,1
"/spells/Shadow-Of-Moil",1,1
"/spells/Synaptic-Static",1,1
"/spells/aganazzars-scorcher",1,1
"/spells/aid",1,1
"/spells/animal-friendship",1,1
"/spells/arcane-lock",1,1
"/spells/ashardalons-stride",1,1
"/spells/beast-sense",1,1
"/spells/bestow-curse",1,1
"/spells/branding-smite",1,1
"/spells/catnap",1,1
"/spells/confusion",1,1
"/spells/cordon-of-arrows",1,1
"/spells/create-bonfire",1,2
"/spells/create-homunculus",1,1
"/spells/dancing-lights",1,1
"/spells/detect-magic",1,2
"/spells/dissonant-whispers",1,1
"/spells/divination",1,1
"/spells/druidcraft",1,3
"/spells/earth-tremor",1,1
"/spells/earthbind",1,1
"/spells/enhance-ability",1,1
"/spells/freedom-of-movement",1,1
"/spells/giant-insect",1,1
"/spells/goodberry",1,1
"/spells/grasping-vine",1,1
"/spells/healing-spirit",1,1
"/spells/invisibility",1,1
"/spells/kinetic-jaunt",1,1
"/spells/locate-creature",1,1
"/spells/mold-earth",1,1
"/spells/pass-without-trace",1,1
"/spells/polymorph",1,1
"/spells/primal-savagery",1,1
"/spells/protection-from-evil-and-good",1,1
"/spells/shatter",1,1
"/spells/shillelagh",1,1
"/spells/stone-shape",1,1
"/spells/stoneskin",1,1
"/spells/thorn-whip",1,3
"/spells/thunderclap",1,1
"/spells/toll-the-dead",1,1
"/spells/vicious-mockery",1,2
"/spells/watery-sphere",1,1
"/subclass/Lunar-Sorcery",1,1
"/subclass/Path-of-the-Berserker",1,2
"/subclass/School-of-Abjuration",1,1
"/subclass/armorer",1,1
"/subclass/artillerist",1,1
"/subclass/assassin",1,1
"/subclass/battle-smith",1,1
"/subclass/chronurgy-magic",1,1
"/subclass/circle-of-the-land",1,1
