Page,Visitors,Total
"/",161,421
"/dashboard",76,186
"/login",76,141
"/class",44,78
"/search",41,141
"/subclass/Horizon-Walker-Conclave",41,43
"/subclass",27,41
"/spells",21,41
"/character/29",15,27
"/item",15,25
"/class/ranger",14,36
"/species",14,23
"/creature",13,27
"/dashboard/29",13,33
"/register",13,13
"/background/Urban-Bounty-Hunter",12,13
"/dashboard/30",12,29
"/blog/class-guide",11,12
"/dashboard/4",11,30
"/feats",11,27
"/spell-list",11,21
"/spells/Longstrider",11,17
"/item/Spiked-Armor",10,11
"/spell-list/Bard-Spell-List",10,42
"/spells/Dancing-Lights",10,17
"/spells/Dark-Star",10,11
"/subspecies/Bronze-Dragonborn",10,14
"/class/barbarian",9,19
"/creature/Giant-Ape",9,9
"/item/Scroll-of-Sunbeam",9,10
"/spells/Detect-Magic",9,13
"/spells/Enhance-Ability",9,13
"/spells/Mending",9,11
"/subclass/Path-of-the-Giant",9,9
"/background",8,14
"/class/artificer",8,14
"/item/Crowbar",8,8
"/item/Scroll-of-Skill-Empowerment",8,9
"/spells/Tasha's-Mind-Whip",8,10
"/subclass/Drakewarden",8,9
"/class/druid",7,9
"/dashboard/5",7,51
"/species/Air-Genasi-(EEPC)",7,7
"/species/Warforged",7,7
"/spell-list/Sorcerer-Spell-List",7,48
"/spells/Hold-Monster",7,8
"/spells/Prestidigitation",7,9
"/spells/Produce-Flame",7,7
"/spells/Toll-the-Dead",7,7
"/spells/Vortex-Warp",7,7
"/subspecies/Rock-Gnome",7,7
"/background/Investigator-(VRGR)",6,6
"/background/Sailor",6,7
"/blog/game-master-guide",6,7
"/class/bard",6,12
"/class/wizard",6,8
"/item/Blue-Spinel",6,6
"/item/Scroll-of-Plane-Shift",6,6
"/race",6,10
"/species/Air-Genasi-(MMOM)",6,6
"/spells/Booming-Blade",6,9
"/spells/Protection-from-Evil-and-Good",6,6
"/subrace/Levistus-Tiefling",6,6
"/subspecies",6,10
"/workshop",6,11
"/background/Faction-Agent",5,5
"/class/cleric",5,6
"/creature/Tiger",5,5
"/dashboard/19",5,7
"/dashboard/20",5,7
"/dashboard/26",5,7
"/item/Scroll-of-Sequester",5,5
"/spells/Dissonant-Whispers",5,7
"/spells/Feather-Fall",5,5
"/spells/Light",5,6
"/spells/Shocking-Grasp",5,5
"/background/Guild-Artisan",4,4
"/changelog",4,6
"/character",4,5
"/class/fighter",4,6
"/class/monk",4,7
"/class/sorcerer",4,9
"/creature/Bulette",4,4
"/dashboard/6",4,5
"/dashboard/9",4,21
"/item/Chain-Mail",4,11
"/spells/Absorb-Elements",4,7
"/spells/Aid",4,5
"/spells/Charm-Person",4,8
"/spells/Chill-Touch",4,6
"/spells/Encode-Thoughts",4,4
"/spells/Expeditious-Retreat",4,7
"/spells/Mind-Sliver",4,4
"/spells/Minor-Illusion",4,6
"/subclass/Storm-Herald",4,5
"/background/Haunted-One",3,3
"/background/Investigator-(VRGR",3,5
"/character/oliver",3,3
"/class/paladin",3,3
"/class/warlock/subclass",3,12
"/creature/Black-Bear",3,3
"/creature/Giant-Toad",3,4
"/dashboard/1",3,9
"/dashboard/10",3,11
"/feats/Cartomancer",3,3
"/item/Block-of-Incense",3,3
"/item/Crossbow-(Hand)",3,3
"/item/Explorer's-Pack",3,3
"/item/Prayer-Book",3,3
"/item/Thieves'-Tools",3,3
"/species/Aarakocra-(MMOM)",3,3
"/species/Dwarf",3,3
"/species/Verdan",3,3
"/species/Water-Genasi-(MMOM)",3,4
