Page,Visitors,Total
"/",172,320
"/class",62,121
"/login",39,66
"/species",38,83
"/search",33,105
"/character/oliver",29,40
"/subclass/Horizon-Walker-Conclave",25,28
"/background",22,48
"/subclass",22,49
"/character",19,82
"/dashboard",19,32
"/item",15,29
"/class/artificer",14,19
"/spells",14,29
"/character/orion",13,18
"/class/fighter",13,16
"/background/Rune-Carver",11,13
"/class/cleric",11,26
"/species/Aasimar-(VGM)",11,13
"/spells/Comprehend-Languages",11,13
"/item/Chain-Mail",10,12
"/item/Scroll-of-Earth-Tremor",10,11
"/spells/Toll-the-Dead",10,10
"/species/Air-Genasi-(EEPC)",9,11
"/spells/Distort-Value",9,10
"/spells/Enlarge-Reduce",9,10
"/class/wizard",8,8
"/item/Scale-Mail",8,8
"/spell-list",8,17
"/class/bard",7,12
"/class/druid",7,8
"/species/Air-Genasi-(MMOM)",7,7
"/register",7,12
"/spells/Light",7,9
"/spells/Rime's-Binding-Ice",7,7
"/subclass/Life-Domain",7,7
"/subspecies",7,10
"/background/Investigator-(VRGR)",6,6
"/character/26",6,37
"/class/paladin",6,7
"/item/Ladder-(10-foot)",6,7
"/spells/Mage-Hand",6,6
"/spells/Mending",6,10
"/spells/Sleep",6,7
"/subclass/Drakewarden",6,7
"/subspecies/Protector-Aasimar",6,6
"/background/Acolyte",5,5
"/background/Feylost",5,6
"/changelog",5,6
"/dashboard/30",5,20
"/item/Grappling-Hook",5,5
"/species/Water-Genasi-(MMOM)",5,6
"/spell-list/Cleric-Spell-List",5,33
"/spells/Gift-of-Alacrity",5,5
"/subspecies/Stout-Halfling",5,5
"/background/Sailor",4,6
"/character/20",4,29
"/character/29",4,19
"/character/jay",4,4
"/class/ranger",4,6
"/class/warlock/subclass",4,8
"/dashboard/32",4,4
"/item/Explorer's-Pack",4,4
"/species/Dwarf",4,4
"/species/Fire-Genasi-(MMOM)",4,5
"/species/Warforged",4,4
"/species",4,7
"/spell-list/Sorcerer-Spell-List",4,31
"/spells/Bless",4,4
"/spells/Guidance",4,7
"/spells/Shocking-Grasp",4,4
"/subclass/Battle-Master",4,4
"/subclass/College-of-Eloquence",4,4
"/subclass/Storm-Herald",4,6
"/subclass/Tempest-Domain",4,4
"/subspecies/Ghostwise-Halfling",4,4
"/background/Faceless",3,3
"/background/Investigator-(VRGR",3,5
"/background/Rival-Intern",3,3
"/background/Spy",3,3
"/character/boon",3,4
"/class/barbarian",3,7
"/class/monk",3,7
"/class/paladin/subclass",3,11
"/class/sorcerer",3,3
"/dashboard/20",3,6
"/item/Priest's-Pack",3,3
"/species/Air-Genasi-(EEPC)",3,3
"/spell-list/Bard-Spell-List",3,8
"/spells/Command",3,5
"/spells/Cure-Wounds",3,4
"/spells/Finger-of-Death",3,3
"/spells/Guiding-Bolt",3,4
"/spells/Healing-Word",3,3
"/spells/Purify-Food-and-Drink",3,3
"/subclass/Forge-Domain",3,4
"/subclass/Storm-Sorcery",3,5
"/subspecies/Variant-Human",3,4
"/_next/static/chunks/648-229f9a7015c35868.js",2,2
"/_next/static/chunks/app/(root)/(home)/page-e8810079ad617f16.js",2,2
"/_next/static/chunks/app/layout-dd636c969671067c.js",2,2
"/background/Charlatan",2,2
"/background/Cloistered-Scholar",2,2
"/background/Outlander",2,2
"/character/25",2,7
"/character/constantine",2,2
"/character/ranis",2,4
"/class/ranger/subclass",2,3
"/class/sorcerer/subclass",2,6
"/dashboard/25",2,3
"/dashboard/26",2,3
"/dashboard/29",2,5
"/item/Glaive",2,2
"/item/Scroll-of-Sunbeam",2,3
"/item/Scroll-of-Tree-Stride",2,2
"/item/Thieves'-Tools",2,2
"/item/Tinker's-Tools",2,2
"/species/Aarakocra-(MMOM)",2,2
